,,Number of employees,," 131,000 "," 89,450 "," 350,600 "," 137,701 "," 96,498 "," 442,749 "," 424,285 "," 35,000 "," 21,357 "," 24,200 "," 180,143 "," 205,170 "," 97,132 "," 8,900 "," 171,425 "," 120,081 "," 13,245 "," 87,080 "," 8,154 "," 9,600 "," 4,000 "," 12,578 "," 132,000 "," 309,630 "," 74,200 "," 863,000 "," 55,000 "," 128,000 "," 60,000 "," 80,000 "," 132,138 "," 77,571 "," 46,200 "," 61,800 "," 68,175 "," 101,203 "," 76,863 "," 57,017 "," 97,843 "," 73,600 "," 43,000 "," 104,781 "," 24,718 "," 109,390 "," 10,500 "," 37,412 "," 172,995 "," 83,000 "," 35,090 "," 200,000 "," 74,812 "," 200,000 "," 80,000 "," 35,124 "," 2,300 "," 12,900 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Energy costs,USD," 1,882,550,000 "," 2,635,675,000 "," 1,684,975,000 "," 594,875,000 "," 560,145,095 "," 894,059,675 "," 382,270,522 "," 318,675,000 "," 152,213,450 "," 172,875,000 "," 227,575,000 "," 342,805,183 "," 337,747,797 "," 111,525,000 "," 175,930,703 "," 159,740,470 "," 65,555,600 "," 101,124,551 "," 66,281,050 "," 63,372,500 "," 29,128,725 "," 96,465,412 "," 4,868,400,000 "," 4,201,129,775 "," 911,050,000 "," 4,277,511,364 "," 9,529,275,000 "," 2,270,300,000 "," 6,316,650,000 "," 287,700,000 "," 861,836,268 "," 292,787,038 "," 413,766,935 "," 827,189,516 "," 336,696,268 "," 667,440,739 "," 350,748,542 "," 1,246,480,650 "," 597,436,254 "," 487,995,000 "," 1,176,000,000 "," 287,866,477 "," 956,504,156 "," 637,174,494 "," 124,075,000 "," 161,816,127 "," 1,100,117,185 "," 178,243,175 "," 180,166,513 "," 638,675,000 "," 796,466,285 "," 3,758,627,425 "," 728,821,047 "," 162,569,150 "," 36,825,550 "," 87,875,000 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Operating expenses excl. energy costs,USD," 73,419,450,000 "," 102,791,325,000 "," 65,714,025,000 "," 23,200,125,000 "," 21,845,658,694 "," 34,868,327,325 "," 14,908,550,368 "," 12,428,325,000 "," 5,936,324,550 "," 6,742,125,000 "," 8,875,425,000 "," 13,369,402,137 "," 13,172,164,097 "," 4,349,475,000 "," 6,861,297,423 "," 6,229,878,345 "," 2,556,668,400 "," 3,943,857,491 "," 2,584,960,950 "," 2,471,527,500 "," 1,136,020,275 "," 3,762,151,067 "," 189,867,600,000 "," 163,844,061,225 "," 35,530,950,000 "," 166,822,943,181 "," 44,923,725,000 "," 88,541,700,000 "," 21,757,350,000 "," 11,220,300,000 "," 33,611,614,436 "," 11,418,694,487 "," 7,997,233,065 "," 15,987,810,484 "," 13,131,154,456 "," 26,030,188,831 "," 13,679,193,135 "," 48,612,745,350 "," 23,300,013,921 "," 6,018,605,000 "," 8,232,000,000 "," 11,226,792,600 "," 6,695,529,094 "," 24,849,805,282 "," 4,838,925,000 "," 3,127,560,873 "," 42,904,570,234 "," 6,951,483,825 "," 7,026,494,010 "," 24,908,325,000 "," 31,062,185,113 "," 17,719,243,575 "," 28,424,020,830 "," 6,340,196,850 "," 1,436,196,450 "," 3,427,125,000 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total energy consumption,MWh," 7,955,318 "," 10,572,485 "," 4,666,514 "," 1,202,315 "," 917,968 "," 488,148 "," 620,067 "," 690,757 "," 223,248 "," 155,181 "," 278,704 "," 376,847 "," 602,212 "," 91,432 "," 239,239 "," 277,529 "," 150,494 "," 166,498 "," 37,698 "," 43,202 ", -   ," 160,937 "," 2,555,236 "," 26,149,300 "," 1,814,626 ", -   ," 758,898 "," 1,260,555 "," 782,151 "," 1,610,469 "," 2,147,100 "," 3,552,577 "," 6,134,530 "," 22,147,136 "," 5,622,919 "," 1,495,782 "," 2,496,594 "," 347,388 "," 742,787 "," 816,564 "," 1,671,480 "," 3,800,281 "," 1,974,169 "," 1,081,146 "," 220,486 ", -   ," 889,294 "," 593,967 "," 439,222 "," 1,945,501 "," 325,670 "," 2,513,837 "," 549,195 "," 269,229 "," 22,762 "," 167,576 ",
,,thereof from non-renewable sources,MWh," 680,015 "," 1,711,294 "," 3,146,099 "," 948,824 "," 571,006 "," 377,506 "," 561,124 "," 343,759 "," 208,423 "," 23,574 "," 157,522 "," 294,974 "," 358,472 "," 41,082 "," 145,733 "," 261,446 "," 138,704 "," 142,452 ", -   ," 12,843 ", -   ," 160,194 "," 267,062 "," 24,819,300 "," 470,173 ", -   ," 482,954 "," 914,988 "," 525,796 "," 1,591,623 "," 2,080,200 "," 3,539,162 "," 6,134,530 "," 2,135,236 "," 5,577,204 "," 1,227,265 "," 2,076,020 "," 116,085 "," 342,787 "," 812,442 "," 1,670,479 "," 3,140,603 "," 1,970,771 "," 1,080,720 "," 204,497 ", -   ," 889,294 "," 484,847 "," 418,808 "," 1,911,270 "," 315,369 "," 1,404,433 "," 546,816 "," 251,990 "," 17,255 "," 165,825 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Energy cost as percentage of operating costs,, More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , Don't know , More than 0% but less than or equal to 5% , -   , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 15% but less than or equal to 20% , More than 0% but less than or equal to 5% , More than 20% but less than or equal to 25% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , Don't know , Don't know , -   , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 5% but less than or equal to 10% , More than 10% but less than or equal to 15% , More than 0% but less than or equal to 5% , More than 10% but less than or equal to 15% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , -   , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 15% but less than or equal to 20% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% , More than 0% but less than or equal to 5% ,
,,Energy cost as percentage of operating costs (lower limit),,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,-,0%,0%,0%,0%,0%,15%,0%,20%,0%,0%,0%,-,-,0%,0%,0%,0%,0%,5%,10%,0%,10%,0%,0%,-,0%,0%,0%,0%,0%,15%,0%,0%,0%,0%,
